Change_ID,System_Name,System_Criticality,Tested_In_UAT,Developer_ID,Approver_Role,Execution_Window,Downtime_Minutes
CHG-1001,Core-Banking-Gateway,Critical,Yes,DEV-882,IT-Manager,Scheduled,0
CHG-1002,HR-Attendance-Portal,Low,Yes,DEV-314,Developer,Scheduled,0
CHG-1003,Wholesale-Payment-API,Critical,No,DEV-105,None,Emergency,45
CHG-1004,Customer-Mobile-App,High,Yes,DEV-441,IT-Manager,Scheduled,5
CHG-1005,Corporate-Active-Directory,High,No,DEV-902,Developer,Emergency,120
CHG-1006,Risk-Reporting-DB,High,Yes,DEV-105,IT-Manager,Scheduled,0
CHG-1007,Procurement-System,Medium,Yes,DEV-712,IT-Manager,Scheduled,0
CHG-1008,Treasury-Liquidity-Platform,Critical,No,DEV-882,None,Emergency,90
CHG-1009,Staff-Intranet-Wiki,Low,No,DEV-314,Developer,Unscheduled,15
CHG-1010,Credit-Card-Processor,Critical,Yes,DEV-441,Developer,Scheduled,0
CHG-1011,CyberSecurity-SIEM-Log,Critical,Yes,DEV-902,IT-Manager,Scheduled,0
CHG-1012,FX-Trading-Desk,Critical,No,DEV-105,Developer,Emergency,60
CHG-1013,Customer-CRM,Medium,Yes,DEV-712,IT-Manager,Scheduled,0
CHG-1014,General-Ledger-ERP,High,No,DEV-882,None,Unscheduled,30
CHG-1015,Data-Warehouse-ETL,Medium,Yes,DEV-314,IT-Manager,Scheduled,0
CHG-1016,Retail-ATM-Network,Critical,Yes,DEV-441,IT-Manager,Scheduled,0
CHG-1017,Loan-Origination-System,High,Yes,DEV-105,Developer,Scheduled,0
CHG-1018,Anti-Fraud-AI-Engine,Critical,No,DEV-902,None,Emergency,180
CHG-1019,Vendor-Portal,Medium,No,DEV-712,Developer,Unscheduled,20
CHG-1020,Internal-Audit-Vault,High,Yes,DEV-882,IT-Manager,Scheduled,0
CHG-1021,Core-Banking-Gateway,Critical,Yes,DEV-105,IT-Manager,Scheduled,0
CHG-1022,Wholesale-Payment-API,Critical,Yes,DEV-441,IT-Manager,Scheduled,0
CHG-1023,Customer-Mobile-App,High,No,DEV-902,Developer,Emergency,40
CHG-1024,Corporate-Active-Directory,High,Yes,DEV-314,IT-Manager,Scheduled,0
CHG-1025,Risk-Reporting-DB,High,No,DEV-712,None,Unscheduled,10
CHG-1026,Treasury-Liquidity-Platform,Critical,Yes,DEV-882,IT-Manager,Scheduled,0
CHG-1027,Credit-Card-Processor,Critical,No,DEV-105,Developer,Emergency,75
CHG-1028,CyberSecurity-SIEM-Log,Critical,Yes,DEV-441,IT-Manager,Scheduled,0
CHG-1029,FX-Trading-Desk,Critical,Yes,DEV-902,IT-Manager,Scheduled,0
CHG-1030,General-Ledger-ERP,High,Yes,DEV-314,Developer,Scheduled,0
CHG-1031,Retail-ATM-Network,Critical,No,DEV-712,None,Emergency,110
CHG-1032,Loan-Origination-System,High,No,DEV-882,Developer,Emergency,55
CHG-1033,Anti-Fraud-AI-Engine,Critical,Yes,DEV-105,IT-Manager,Scheduled,0
CHG-1034,Cloud-Infrastructure-IAM,Critical,Yes,DEV-441,IT-Manager,Scheduled,0
CHG-1035,Swift-Messaging-Hub,Critical,No,DEV-902,None,Emergency,240
CHG-1036,Mobile-Banking-API,Critical,Yes,DEV-314,IT-Manager,Scheduled,0
CHG-1037,Wealth-Management-Portal,High,Yes,DEV-712,Developer,Scheduled,0
CHG-1038,Customer-Data-Platform,High,No,DEV-882,Developer,Emergency,95
CHG-1039,Call-Center-VOIP,Medium,Yes,DEV-105,IT-Manager,Scheduled,0
CHG-1040,Investor-Relations-Site,Low,Yes,DEV-441,IT-Manager,Scheduled,0
CHG-1041,Core-Banking-Gateway,Critical,No,DEV-902,None,Emergency,150
CHG-1042,Wholesale-Payment-API,Critical,Yes,DEV-314,IT-Manager,Scheduled,0
CHG-1043,CyberSecurity-SIEM-Log,Critical,No,DEV-712,Developer,Emergency,85
CHG-1044,Cloud-Infrastructure-IAM,Critical,Yes,DEV-882,IT-Manager,Scheduled,0
CHG-1045,Swift-Messaging-Hub,Critical,Yes,DEV-105,IT-Manager,Scheduled,0
CHG-1046,Mobile-Banking-API,Critical,No,DEV-441,None,Emergency,130
CHG-1047,Corporate-Email-Exchange,High,Yes,DEV-902,IT-Manager,Scheduled,0
CHG-1048,Helpdesk-Ticketing,Low,Yes,DEV-314,Developer,Scheduled,0
CHG-1049,Legal-Archiving-System,Medium,No,DEV-712,Developer,Unscheduled,5
CHG-1050,HR-Payroll-Core,High,Yes,DEV-882,IT-Manager,Scheduled,0
